crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat
0.09604,40,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98
0.10469,40,6.41,1,0.447,7.267,49,4.7872,4,254,17.6,389.25,6.05
0.06127,40,6.41,1,0.447,6.826,27.6,4.8628,4,254,17.6,393.45,4.16
0.07978,40,6.41,0,0.447,6.482,32.1,4.1403,4,254,17.6,396.9,7.19
0.21038,20,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,396.9,4.85
0.03578,20,3.33,0,0.4429,7.82,64.5,4.6947,5,216,14.9,387.31,3.76
0.03705,20,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,392.23,4.59
0.06129,20,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,377.07,3.01
6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96
9.2323,0,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,366.15,9.53
8.26725,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,347.88,8.88
11.1081,0,18.1,0,0.668,4.906,100,1.1742,24,666,20.2,396.9,34.77
18.4982,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,396.9,37.97
9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,396.9,21.24
17.8667,0,18.1,0,0.671,6.223,100,1.3861,24,666,20.2,393.74,21.78
88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,396.9,17.21
15.8744,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08
9.18702,0,18.1,0,0.7,5.536,100,1.5804,24,666,20.2,396.9,23.6
7.99248,0,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,396.9,24.56
20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63
16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81
24.3938,0,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,396.9,28.28
22.5971,0,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,396.9,31.99
14.3337,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,372.92,30.62
8.15174,0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85
6.96215,0,18.1,0,0.7,5.713,97,1.9265,24,666,20.2,394.43,17.11
5.29305,0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76
11.5779,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,396.9,25.68
8.64476,0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,396.9,15.17
8.71675,0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12
5.87205,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,396.9,19.37
7.67202,0,18.1,0,0.693,5.747,98.9,1.6334,24,666,20.2,393.1,19.92
38.3518,0,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,396.9,30.59
9.91655,0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,338.16,29.97
25.0461,0,18.1,0,0.693,5.987,100,1.5888,24,666,20.2,396.9,26.77
14.2362,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,396.9,20.32
9.59571,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,376.11,20.31
24.8017,0,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,396.9,19.77
41.5292,0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38
67.9208,0,18.1,0,0.693,5.683,100,1.4254,24,666,20.2,384.97,22.98
20.7162,0,18.1,0,0.659,4.138,100,1.1781,24,666,20.2,370.22,23.34
11.9511,0,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,332.09,12.13
14.4383,0,18.1,0,0.597,6.852,100,1.4655,24,666,20.2,179.36,19.78
51.1358,0,18.1,0,0.597,5.757,100,1.413,24,666,20.2,2.6,10.11
14.0507,0,18.1,0,0.597,6.657,100,1.5275,24,666,20.2,35.05,21.22
18.811,0,18.1,0,0.597,4.628,100,1.5539,24,666,20.2,28.79,34.37
28.6558,0,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,210.97,20.08
45.7461,0,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,88.27,36.98
10.8342,0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79
25.9406,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64
11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74
11.0874,0,18.1,0,0.718,6.411,100,1.8589,24,666,20.2,318.75,15.02
0.10959,0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21,393.45,6.48
